price,location,distance,amenities,ratings,type
5574,"South Chennai, Chennai",,Room service Non-smoking rooms Free WiFi Free parking Family rooms 24-hour front desk Tea/coffee maker in all rooms ,7.0,Standard Double Room
10200,"South Chennai, Chennai",,Free WiFi Free parking ,7.852380952380953,One-Bedroom Apartment
7798,"South Chennai, Chennai",,Non-smoking rooms Restaurant Free WiFi Free parking 24-hour front desk Breakfast ,7.4,Deluxe Room
7500,Chennai,,Room service Free parking Family rooms 24-hour front desk Tea/coffee maker in all rooms Breakfast ,7.852380952380953,Deluxe Double Room with Bath
18367,"Central Chennai, Chennai",,Outdoor swimming pool Spa and wellness centre Airport shuttle Fitness centre Room service Non-smoking rooms Restaurant Tea/coffee maker in all rooms Bar Good breakfast,7.8,Deluxe King Room
5726,"South Chennai, Chennai",,Non-smoking rooms Free WiFi Free parking Family rooms 24-hour front desk Superb breakfast,8.2,Double Room
10125,Chennai,,Airport shuttle Room service Non-smoking rooms Free WiFi Free parking Family rooms 24-hour front desk Tea/coffee maker in all rooms Breakfast ,8.3,Comfort Double
7591,"T - Nagar, Chennai",,Airport shuttle Room service Non-smoking rooms Restaurant Free WiFi Free parking Family rooms 24-hour front desk Good breakfast,8.0,Deluxe Room
15390,"Sholinganallur, Chennai",,Outdoor swimming pool Airport shuttle Fitness centre Room service Non-smoking rooms Restaurant Free WiFi Free parking Bar Good breakfast,8.4,Studio Executive
25200,"Central Chennai, Chennai",,Outdoor swimming pool Room service Non-smoking rooms Restaurant Free WiFi Free parking Facilities for disabled guests Family rooms Bar Very good breakfast,8.2,Triple Room
8400,"South Chennai, Chennai",,Free WiFi Free parking ,7.852380952380953,Double Room
26369,"Central Chennai, Chennai",,Outdoor swimming pool Airport shuttle Fitness centre Room service Non-smoking rooms Restaurant Free WiFi Tea/coffee maker in all rooms Bar Good breakfast,8.2,Executive Room King Bed  - Drop to US Consulate
8910,"Nungambakkam, Chennai",,Room service Non-smoking rooms Free WiFi Free parking 24-hour front desk ,8.7,Deluxe Room
9218,"Central Chennai, Chennai",,Room service Non-smoking rooms Free WiFi Family rooms 24-hour front desk ,9.2,Deluxe Room
10337,"Central Chennai, Chennai",,Room service Non-smoking rooms Free WiFi Free parking Family rooms 24-hour front desk ,6.9,Deluxe Double Room
12261,"Egmore-Nungambakam, Chennai",,Airport shuttle Room service Restaurant Free WiFi Free parking Facilities for disabled guests Family rooms 24-hour front desk Tea/coffee maker in all rooms Breakfast ,7.8,Superior Double Room
15900,"South Chennai, Chennai",,Room service Non-smoking rooms Restaurant Free WiFi Free parking Family rooms 24-hour front desk Bar Good breakfast,7.3,Standard Double Room
8910,"T - Nagar, Chennai",,Airport shuttle Room service Non-smoking rooms Restaurant Free WiFi Free parking 24-hour front desk Good breakfast,7.9,Executive Double Room
10710,"South Chennai, Chennai",,Free WiFi Free parking ,7.852380952380953,Two-Bedroom Apartment
11250,"Old Mahabalipuram Road, Chennai",,Airport shuttle Fitness centre Room service Non-smoking rooms Restaurant Free WiFi Free parking Facilities for disabled guests Tea/coffee maker in all rooms Good breakfast,7.9,Fairfield Twin Room
18897,"Mylapore, Chennai",,Outdoor swimming pool Spa and wellness centre Airport shuttle Fitness centre Room service Non-smoking rooms Restaurant Free WiFi Bar Breakfast ,6.8,Executive Double Room
23597,"Central Chennai, Chennai",,Outdoor swimming pool Airport shuttle Fitness centre Room service Non-smoking rooms Restaurant Free WiFi Free parking Bar Fabulous breakfast,8.7,Deluxe Double or Twin Room
23331,"Egmore-Nungambakam, Chennai",,Outdoor swimming pool Spa and wellness centre Airport shuttle Fitness centre Room service Non-smoking rooms Restaurant Tea/coffee maker in all rooms Bar Very good breakfast,8.0,Standard Room
2550,"Triplicane, Chennai",,Room service Non-smoking rooms Free WiFi Free parking Family rooms 24-hour front desk ,7.8,Double or Twin Room with Shared Bathroom
11697,"Thoraipakkam, Chennai",,Airport shuttle Fitness centre Room service Non-smoking rooms Restaurant Free WiFi Free parking Facilities for disabled guests Tea/coffee maker in all rooms Breakfast ,6.4,Superior Room
