price,location,distance,amenities,ratings,type
1128,Jaipur,,Room service Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk Breakfast ,7.6,Deluxe Room
4500,"Malviya Nagar, Jaipur",,Outdoor swimming pool Airport shuttle Fitness centre Room service Restaurant Free WiFi Non-smoking rooms Tea/coffee maker in all rooms Bar Very good breakfast,8.2,Hyatt Twin Room with 15% Discount on F&B
3999,"Tonk Road, Jaipur",,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Breakfast ,6.5,Superior Double or Twin- Non Smoking Room
5500,Jaipur,,Outdoor swimming pool Airport shuttle (free) Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Very good breakfast,8.1,Standard Twin Room with City View Smoking 
1607,Jaipur,,Airport shuttle Room service Restaurant Free WiFi Free parking Non-smoking rooms Facilities for disabled guests Family rooms Bar Breakfast ,7.4,Deluxe Double Room (2 Adults + 1 Child)
1100,"Bani Park, Jaipur",,Room service Free WiFi Non-smoking rooms Family rooms 24-hour front desk Breakfast ,9.3,Deluxe Room
800,"Sansar Chandra Road, Jaipur",,Airport shuttle (free) Room service Free WiFi Free parking Non-smoking rooms 24-hour front desk Breakfast ,7.9,Economy Double or Twin Room
1334,"Tonk Road, Jaipur",,Room service Restaurant Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk Tea/coffee maker in all rooms ,8.2,Standard Double Room
1899,Jaipur,,Airport shuttle Room service Restaurant Free WiFi Free parking Non-smoking rooms 24-hour front desk Tea/coffee maker in all rooms Good breakfast,8.5,Double Room
810,Jaipur,,Airport shuttle Room service Restaurant Free WiFi Free parking Non-smoking rooms Facilities for disabled guests 24-hour front desk BBQ facilities Breakfast ,7.8,Double or Twin Room
1170,"Amer Fort Road, Jaipur",,Airport shuttle Spa and wellness centre Room service Restaurant Free WiFi Free parking Non-smoking rooms Tea/coffee maker in all rooms Bar Breakfast ,9.7,Budget Double Room
1500,"Civil Lines, Jaipur",,Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk Garden ,9.0,Deluxe Double Room
3007,Jaipur,,Room service Restaurant Free WiFi Free parking Non-smoking rooms 24-hour front desk Tea/coffee maker in all rooms Breakfast ,8.7,Deluxe Room
5800,Jaipur,,Outdoor swimming pool Airport shuttle (free) Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Very good breakfast,7.9,Superior Double Room
5900,Jaipur,,Outdoor swimming pool Airport shuttle Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Good breakfast,8.0,King Guest Room
11000,Jaipur,,2 swimming pools Airport shuttle (free) Spa and wellness centre Fitness centre Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Very good breakfast,8.4,Rajputana Royale with Club lounge access
2300,Jaipur,,Room service Restaurant Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk Tea/coffee maker in all rooms Breakfast ,8.2,"Executive Room - 10% off on Laundry, 10% off on F&B, Complimentary Drivers accommodation"
974,"Sansar Chandra Road, Jaipur",,Room service Free parking Non-smoking rooms 24-hour front desk Breakfast ,10.0,Standard Double Room
2105,Jaipur,,Airport shuttle Room service Restaurant Free WiFi Free parking Non-smoking rooms Family rooms 24-hour front desk Bar Very good breakfast,8.1,Deluxe Double Room
2500,"M.I. Road, Jaipur",,Restaurant Free WiFi Free parking Family rooms 24-hour front desk Bar Tea/coffee maker in all rooms Good breakfast,8.0,Standard Double Room
1813,"C Scheme, Jaipur",,Airport shuttle Restaurant Free WiFi Non-smoking rooms Family rooms 24-hour front desk Superb breakfast,8.6,King Room
900,"Civil Lines, Jaipur",,Airport shuttle Room service Restaurant Free WiFi Parking on site Non-smoking rooms 24-hour front desk BBQ facilities Exceptional breakfast,9.5,Deluxe Double Room with Shower
