price,location,distance,amenities,ratings,type
12928,Cochin,,Non-smoking rooms Free WiFi Free parking Family rooms 24-hour front desk ,8.8,Standard Double Room
12691,"Fort Kochi, Cochin",,Airport shuttle Non-smoking rooms Free WiFi Family rooms 24-hour front desk Tea/coffee maker in all rooms Very good breakfast,8.3,Standard Double Room
21500,"Willingdon Island, Cochin",,Outdoor swimming pool Airport shuttle Fitness centre Spa and wellness centre Non-smoking rooms Room service Restaurant Tea/coffee maker in all rooms Bar Very good breakfast,8.4,Superior Double or Twin Room
10458,"Ernakulam, Cochin",,Indoor swimming pool Non-smoking rooms Free WiFi Free parking Family rooms 24-hour front desk Breakfast ,7.7,Standard Double Room
39800,Cochin,,Outdoor swimming pool Fitness centre Spa and wellness centre Non-smoking rooms Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Fabulous breakfast,8.7,"Deluxe King Room, Guest room, 1 King"
26826,"Ernakulam, Cochin",,Outdoor swimming pool Airport shuttle Fitness centre Non-smoking rooms Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Good breakfast,7.3,Superior Room
20250,"Ernakulam, Cochin",,Airport shuttle Non-smoking rooms Room service Restaurant Free WiFi Free parking Facilities for disabled guests Family rooms Tea/coffee maker in all rooms Breakfast ,9.0,Deluxe Room
12750,"Ernakulam, Cochin",,Pool  - outdoor (kids) Fitness centre Spa and wellness centre Non-smoking rooms Room service Restaurant Free WiFi Free parking Family rooms Very good breakfast,8.9,Deluxe Double Room
7185,"Ernakulam, Cochin",,Room service Free WiFi Family rooms 24-hour front desk Good breakfast,8.1,Deluxe Room
31450,"Ernakulam, Cochin",,Outdoor swimming pool Airport shuttle Fitness centre Spa and wellness centre Non-smoking rooms Room service Restaurant Free WiFi Bar Fabulous breakfast,8.0,Deluxe King Room with 10% F & B discount
18000,Cochin,,Outdoor swimming pool Airport shuttle Spa and wellness centre Non-smoking rooms Room service Restaurant Free WiFi Free parking Facilities for disabled guests Very good breakfast,8.9,Budget Double Room
30434,"Ernakulam, Cochin",,Outdoor swimming pool Fitness centre Spa and wellness centre Non-smoking rooms Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar Very good breakfast,8.0,Superior Room - 25% discount on Room Service & Laundry 15% discount on Spa
27027,"Kakkanad, Cochin",,Fitness centre Non-smoking rooms Room service Restaurant Free WiFi Free parking Facilities for disabled guests Tea/coffee maker in all rooms Bar Very good breakfast,8.2,Deluxe King Room
12146,"Ernakulam, Cochin",,Outdoor swimming pool Airport shuttle Non-smoking rooms Room service Restaurant Free WiFi Free parking Facilities for disabled guests Tea/coffee maker in all rooms Breakfast ,7.3,Standard King Room
34510,"Ernakulam, Cochin",,Outdoor swimming pool Airport shuttle Fitness centre Spa and wellness centre Non-smoking rooms Room service Restaurant Tea/coffee maker in all rooms Bar Very good breakfast,8.5,Standard King Room with City View - Non-Smoking
9000,"Ernakulam, Cochin",,Free WiFi Free parking ,8.085106382978724,One-Bedroom Apartment
23203,"Willingdon Island, Cochin",,Outdoor swimming pool Airport shuttle Fitness centre Spa and wellness centre Non-smoking rooms Room service Restaurant Free WiFi Bar Very good breakfast,8.0,Deluxe Room with 15% off on food and soft beverages & 20% off on laundry services.
3554,"Fort Kochi, Cochin",,Room service Free WiFi 24-hour front desk ,7.0,Classic Triple Room
4495,"Fort Kochi, Cochin",,Airport shuttle Non-smoking rooms Free WiFi Free parking Family rooms Breakfast ,7.0,Budget Double Room
9720,"Ernakulam, Cochin",,Non-smoking rooms Room service Free WiFi Free parking Family rooms 24-hour front desk Breakfast ,6.5,Deluxe King Room
13662,"Ernakulam, Cochin",,Non-smoking rooms Free WiFi Free parking Family rooms 24-hour front desk Breakfast ,7.2,Standard Double Room
27495,"Ernakulam, Cochin",,Outdoor swimming pool Airport shuttle Fitness centre Spa and wellness centre Non-smoking rooms Room service Restaurant Free WiFi Tea/coffee maker in all rooms Bar ,7.3,Superior Room City View Queen Bed
31875,"Fort Kochi, Cochin",,Outdoor swimming pool Airport shuttle Non-smoking rooms Restaurant Free WiFi Free parking Facilities for disabled guests Family rooms 24-hour front desk Good breakfast,8.8,Bastion Room
16000,"Ernakulam, Cochin",,Non-smoking rooms Room service Restaurant Free WiFi Free parking Facilities for disabled guests 24-hour front desk Tea/coffee maker in all rooms Bar ,7.9,Standard Twin Room
26786,"Fort Kochi, Cochin",,Outdoor swimming pool Airport shuttle Spa and wellness centre Non-smoking rooms Room service Restaurant Free WiFi Free parking Family rooms Good breakfast,7.9,Boutique Room
4000,"Fort Kochi, Cochin",,Airport shuttle (free) Room service Free WiFi Free parking Beachfront Family rooms 24-hour front desk Breakfast ,9.1,Standard Double Room
