price,location,distance,amenities,ratings,type
1433,"Gomti Nagar, Lucknow",,Free WiFi Family rooms Free parking Room service Non-smoking rooms 24-hour front desk Breakfast ,7.7,Deluxe Room
4100,"Gomti Nagar, Lucknow",,Free WiFi Family rooms Restaurant Free parking Room service Airport shuttle Fitness centre Tea/coffee maker in all rooms Bar Good breakfast,7.4,"2 Twin/Single Beds, City View, Guest Room"
4500,"Gomti Nagar, Lucknow",,Outdoor swimming pool Free WiFi Family rooms Restaurant Free parking Room service Airport shuttle Tea/coffee maker in all rooms Bar Very good breakfast,7.6,Standard Twin Room
4799,"Gomti Nagar, Lucknow",,Outdoor swimming pool Free WiFi Family rooms Restaurant Free parking Room service Spa and wellness centre Fitness centre Bar Breakfast ,7.8,Superior King Room with Sofa Bed
6250,"Gomti Nagar, Lucknow",,2 swimming pools Free WiFi Restaurant Free parking Room service Spa and wellness centre Airport shuttle Tea/coffee maker in all rooms Bar Good breakfast,7.7,King Room
850,"Gomti Nagar, Lucknow",,Free WiFi Family rooms Restaurant Free parking Room service Spa and wellness centre Airport shuttle (free) Non-smoking rooms Bar Breakfast ,7.4,Deluxe Family Room
7744,"Gomti Nagar, Lucknow",,Outdoor swimming pool Free WiFi Family rooms Restaurant Free parking Room service Spa and wellness centre Tea/coffee maker in all rooms Bar Fabulous breakfast,8.7,Superior Garden View Twin Bed
6199,Lucknow,,Outdoor swimming pool Family rooms Restaurant Free parking Room service Airport shuttle Fitness centre Tea/coffee maker in all rooms Bar Breakfast ,8.7,Standard King Room
702,Lucknow,,Room service 24-hour front desk ,7.306349206349206,Classic Triple Room
1230,"Gomti Nagar, Lucknow",,Room service 24-hour front desk ,8.0,Deluxe Room
1435,Lucknow,,Free WiFi Room service 24-hour front desk ,7.5,Deluxe Room
1264,Lucknow,,Free WiFi Family rooms Free parking Room service Non-smoking rooms Breakfast ,8.5,Deluxe Double Room with Bath
4048,Lucknow,,Free WiFi Restaurant Free parking Room service Fitness centre Non-smoking rooms Facilities for disabled guests Tea/coffee maker in all rooms Bar Breakfast ,7.6,Superior Room - 2 Single Beds
734,Lucknow,,Free WiFi Room service 24-hour front desk ,7.306349206349206,Classic Triple Room
1955,Lucknow,,Free WiFi Family rooms Free parking Room service Airport shuttle Non-smoking rooms 24-hour front desk Tea/coffee maker in all rooms Very good breakfast,7.7,Deluxe Room
2500,"Gomti Nagar, Lucknow",,Swimming Pool Free WiFi Free parking ,9.0,One-Bedroom Apartment
2231,Lucknow,,Free WiFi Family rooms Restaurant Free parking Room service Airport shuttle Non-smoking rooms Facilities for disabled guests 24-hour front desk Breakfast ,7.6,Deluxe Room
2300,"Gomti Nagar, Lucknow",,Outdoor swimming pool Free WiFi Family rooms Free parking Room service Fitness centre Facilities for disabled guests 24-hour front desk Breakfast ,5.2,King Suite with Pool View
779,Lucknow,,,1.0,Standard Double Room
1004,Lucknow,,Room service 24-hour front desk ,8.0,Classic Triple Room
3023,"Gomti Nagar, Lucknow",,Free WiFi Free parking Room service Facilities for disabled guests ,7.2,Standard Double Room
2669,"Gomti Nagar, Lucknow",,Free WiFi Restaurant Free parking Room service Airport shuttle Non-smoking rooms 24-hour front desk Tea/coffee maker in all rooms Fabulous breakfast,8.3,Deluxe Room
1542,Lucknow,,Free WiFi Family rooms Free parking Room service Non-smoking rooms 24-hour front desk Breakfast ,7.4,Deluxe Room
1228,"Gomti Nagar, Lucknow",,,7.306349206349206,Classic Triple Room
2250,"Gomti Nagar, Lucknow",,Free WiFi Family rooms Free parking Room service Airport shuttle Non-smoking rooms Facilities for disabled guests 24-hour front desk Breakfast ,8.8,Deluxe Room
1433,"Gomti Nagar, Lucknow",,Free WiFi Family rooms Free parking Room service Non-smoking rooms 24-hour front desk Breakfast ,7.7,Deluxe Room
4500,"Gomti Nagar, Lucknow",,Outdoor swimming pool Free WiFi Family rooms Restaurant Free parking Room service Airport shuttle Tea/coffee maker in all rooms Bar Very good breakfast,7.6,Standard Twin Room
4799,"Gomti Nagar, Lucknow",,Outdoor swimming pool Free WiFi Family rooms Restaurant Free parking Room service Spa and wellness centre Fitness centre Bar Breakfast ,7.8,Superior King Room with Sofa Bed
6250,"Gomti Nagar, Lucknow",,2 swimming pools Free WiFi Restaurant Free parking Room service Spa and wellness centre Airport shuttle Tea/coffee maker in all rooms Bar Good breakfast,7.7,King Room
850,"Gomti Nagar, Lucknow",,Free WiFi Family rooms Restaurant Free parking Room service Spa and wellness centre Airport shuttle (free) Non-smoking rooms Bar Breakfast ,7.4,Deluxe Family Room
